,CD8_T_cells,CD4_T_cells,T_regulatory,NK_cells,B_cells,Macrophages_M1,Macrophages_M2,Dendritic_cells,Neutrophils,Mast_cells,Exhaustion,IFN_gamma
TCGA-AC-A4ZE,0.09595393741698437,-0.09651453109391271,-0.4026180144797488,-0.7282128746853331,-0.6446040078430963,-0.1735649490702586,-0.20197374725216202,-0.7260025349696794,-0.26817816574213793,0.7775516937743904,-0.29348028810673565,-0.4074197609365155
TCGA-AO-A124,-0.031118036309675755,-0.35702859090234135,0.05760074605277996,-0.1560416463563041,-0.6674567194588816,0.4071710660284058,-0.6579159316169828,-0.6901963871411777,0.6511371631725261,-1.356450329283917,-0.10909046798436332,0.15643633162632248
TCGA-AR-A24M,-1.0932551360366283,-0.23010226896358282,-0.11401078613490633,-0.9314785199508419,-0.7544953513591397,-0.5002335053598636,-0.3576938509763167,-0.03855023000350268,0.05416177600640937,0.9331579211808463,-0.6988152027571239,-0.5443754329537263
TCGA-E9-A22A,0.9082146077339177,0.4491053929305876,0.917801973268515,0.37488101724897477,-0.31300407024642257,0.3642354830041164,0.1479888698417708,-0.06050120208744345,1.6113000287451715,0.9434582182586345,0.7919863182418744,1.4155603412707911
TCGA-BH-A0BZ,1.7830567918021836,1.002483601525727,1.1442803279155438,1.1436467558427812,0.040385897334356276,0.45712959906424927,0.36290764067396747,-0.27864135249499083,-0.005642389185523409,-0.5095632829884097,1.6268484295831744,2.1406009408623583
TCGA-A8-A07F,0.030480943033015608,0.1257737778912663,0.5222116006105816,0.05089217740276392,-0.6942937614931222,0.38228511711456087,0.17363769953677982,-0.2587962481417748,-0.40094495272600733,0.7359235826646663,0.213289630776969,0.5760154962355406
TCGA-B6-A0WT,-0.9090372426514474,-0.24576960168263556,0.8430731894174163,-1.0979017903301598,-0.4657386546641619,0.2283805619380488,-0.2887717627972895,-0.7185446546729656,-0.25152550564107895,1.0051804412994623,-0.11251975771040586,0.015218167950145352
TCGA-C8-A12Y,-0.6343128443967959,-0.4428142939177022,-0.36119836993970983,-0.39652057606848257,-0.5495364735564089,-0.15731130435964874,-0.681388680470037,-0.4649807678550353,-0.5279517285658067,0.30631756700794965,-0.13673586714134664,0.4050414090936486
TCGA-AN-A0FF,-0.05839295493929022,0.5535374504442039,0.37331839221271107,-0.1620629478591669,0.0700297195357015,-0.04468217935551718,0.04457441027590124,0.1370159397677222,0.14011823433119855,0.25873712693038126,0.18632724464296885,0.1764204401385636
TCGA-BH-A1F5,-1.235989038233946,-0.8867758332097839,-0.6121888857679594,-1.0388324383080403,-0.7173734783260104,-0.26616833090558745,-0.5619380712757923,-0.8110491809313857,-0.3931994656052622,0.9668349491866554,-0.8267109819557791,-0.6920967062994478
TCGA-D8-A1Y2,1.0818611928206008,0.9733094514172418,0.3859105990034029,0.8566982580606229,0.7466165648968962,0.9932726504906544,1.196063185597852,0.6279760516993379,0.38536894107854464,-0.08393879477365394,1.02046727612959,0.5540743050234517
TCGA-BH-A0B6,2.523916876967242,1.8386229105561893,1.1505320353335853,2.398217662823071,2.9395319274371254,0.46672504472980814,0.4652250575415148,1.4047829655175332,-0.36679843540755225,0.001330140129761755,2.109333200537261,2.287124976910607
TCGA-A8-A093,-1.3838002945891474,-0.8313403388329295,-0.5008363292448735,-1.2980028127554124,-0.8937947591784491,-0.7559293946599174,-0.5521546232548599,-1.0600675189321447,-0.5801158989258622,-0.4288191486903361,-0.9524195717566598,-0.8924326547210739
TCGA-E2-A1B1,0.8803345131716972,1.3406337640654682,1.363110605138484,0.8611022384869745,0.35413252773545084,0.39868794477895647,0.889699455427146,1.549339041390071,-0.05229108384625731,0.5573300862507758,1.3869801601809537,1.7078918853104919
TCGA-AR-A255,0.6512246375085297,1.0063022906862558,1.1354136405859145,0.20082872837414506,0.03792356908122692,0.6501340309543008,0.5211588687952425,0.599527066198512,-0.049350742680380415,0.7764861670168653,0.976658192740765,1.0928024784984183
TCGA-B6-A0WX,0.15872184203536518,0.7403965414089249,0.3513537385465017,-0.34882470575771407,1.2811957338129891,0.3382804384452501,-0.7177261901607748,0.24251208387788425,-0.47148088285614326,-0.49532884250327064,0.472226053811354,0.2450847337365732
TCGA-EW-A1J2,0.5053398371086983,0.693492318336314,0.580337929119532,0.25598360522212915,-0.3081982035955394,-0.23334449191488943,0.7842442130544016,0.605522642652003,0.012880794737948046,0.4539216895974542,0.6645955751545202,0.39814821525455196
TCGA-A1-A0SP,-0.1871019815712202,0.5503364772143436,0.8281072905760221,0.2825611270916959,0.23390422956176343,0.7923735344144671,0.18000047209122666,0.5127553840183862,-0.21329959305600302,-0.5923650732294291,0.49060250370631725,0.3081280145873535
