,CD8_T_cells,CD4_T_cells,T_regulatory,NK_cells,B_cells,Macrophages_M1,Macrophages_M2,Dendritic_cells,Neutrophils,Mast_cells,Exhaustion,IFN_gamma
TCGA-BP-4769,-1.626971972165192,-0.7425833126814347,-0.8109323144318917,-1.2262690693317662,-0.44712494531861335,0.2554311860987308,-0.2621391950040343,-0.5256516764545457,-1.388572941430393,0.6853736775912272,-1.2485089886132361,-0.6446613696043055
TCGA-CJ-4887,0.910987016409137,0.082191779002418,0.1840760669851138,0.0792856691765839,-0.41863136344616075,-0.07082577001999336,-0.37400098089106804,0.648185981599557,-0.25788740753348965,-0.787197905742481,0.7099679920934742,0.5469478063742201
TCGA-B0-4833,0.5416413708899052,-0.4530740065386764,0.14802890596051813,0.5722713751822314,-0.39824757831812896,-0.19904681995458534,-0.6197935163385896,-0.012457483727384986,-0.06788805914470268,0.9574105757748622,0.47532715802560366,0.05271344915934016
TCGA-BP-4167,0.5078458052918264,0.7454452698102993,0.2569621259187019,0.06757687122376714,-0.20292598511407092,-0.2422833434672005,-0.02273144986605378,0.1349953019075715,-0.04660218069884856,0.32743880643739054,0.24573835384500872,0.17898917939550385
TCGA-A3-3323,0.1940845073731197,0.3174004020734652,0.9570381866068587,0.5785545393542709,-0.17953307672526497,-0.2951583645195776,0.280182233274811,0.1679764055055556,0.5185313548587632,0.34993795046209547,-0.04300234057199102,0.013068132050221393
TCGA-B8-5158,0.015037592457049675,0.44151537487189063,0.21075042961765314,-0.007404499518944729,-0.34320372373927405,1.3464195319233654,0.8027488136986144,0.6436425803020634,1.413996166357861,-0.888070338623629,0.045926030503934956,0.29910689949400054
TCGA-B0-5713,0.13736524327177663,-0.6298968465771346,-0.46618496085004385,0.5026700209214702,-0.26781961665036585,-0.0819259120621731,-0.43857597153272954,-0.5130981255577098,-0.3387190063758804,-0.35850294523027365,-0.24975962336113616,0.7336071791541104
TCGA-CJ-5672,0.905587624581211,0.31069956496781315,0.286809466359188,-0.08481258942343357,0.015824628231069986,-0.12420618108020207,-0.1618934568862685,0.7903274946887994,-0.361024290357787,-0.020440752650135997,1.0603702727415139,0.6413002700746586
TCGA-B0-5084,-1.094327878827322,-0.7762198303310924,-0.8710474839795203,-1.544548365169226,-0.7335145799553516,-0.9324839384146186,-1.0608036761069894,-0.6201716653580147,0.9347598567438197,-2.04663127418345,-0.9606535026703078,-1.054176280173098
TCGA-CZ-5452,1.1539248445319217,1.110596253485797,1.0580258755231122,0.08544197421456658,1.3962471684328517,0.04018207077278798,-0.23027921436368717,0.3600246533482531,-0.10072985742955622,-1.202580660992074,1.1060587869231682,1.0151517240884673
TCGA-B8-A54G,1.52464761673615,1.0549191047974014,2.025437885736698,-0.017006181714461183,-0.3127186961767318,0.4434761750673615,-0.05498675354601063,1.3571249733290482,0.24518815062379948,-1.374190426564386,1.623090016840791,1.3736479141079982
TCGA-B0-5110,-0.197011141701684,0.01110600319769986,0.33915555512447426,0.13045860481900146,0.02233510614119172,0.8744206321001968,0.4018174915176422,0.6659706890381297,0.7400740162207681,0.904948253364144,-0.2476446582822098,0.2887015108311395
TCGA-CW-5591,-1.0610644813502401,-0.4379571010868164,-0.7753132818257802,-0.9523199485177403,-0.4619930287272558,-0.6835078153344291,0.20194808818036822,-0.5124045285905482,-0.4953045501969939,-0.30548356877301147,-0.5255709844507489,-1.0134578540833656
TCGA-BP-4330,1.3024812113980029,0.9399975231842306,0.9995777536208322,1.0481444376963354,1.4476977736144458,0.11738352340131152,0.5492069964117522,1.1888665541705832,0.07167797908878143,0.9676396748158561,1.177177918700494,1.0900203029310966
TCGA-DV-5574,0.379690755213102,0.40025701384803986,-0.21552890192725518,0.6588612759878083,0.9014114347025154,0.6065640514918486,0.6384178201027233,0.21260460193494046,0.06803680063016733,1.1722863590188877,0.007207577715391544,0.013212523835708812
TCGA-BP-5199,1.8088129467433363,0.8235618553209696,1.4416533488729122,1.282903258647632,0.15428466767963925,0.6640674100568755,0.11396764087777093,0.6518925604419276,-0.6612106470550889,0.8052418865036933,1.4128164544392399,1.3479741835471426
TCGA-B0-4707,-0.1907048453071019,-0.5343105373292094,-0.17111924304461026,-0.23483583623400275,-0.2772039493950967,-1.4128351734506315,-1.4526133222447313,-1.0777542707690084,-1.053082696844778,-0.9233209360175643,-0.4405460032364446,-1.301185260850052
TCGA-CZ-4854,-0.308277428219163,-0.11197979878480938,-0.2120048244217787,0.15957973536068795,0.3157918199130341,-0.21748653606832327,-0.06183697783024756,-0.7294561672718167,-0.7372458314198681,-0.3413734438154738,-0.4291320236416595,-0.4263442185662007
TCGA-BP-5168,-0.6498916717902912,-0.623278106170518,-0.79571321463095,-0.5699441023878143,-0.6874787158603637,-0.010070822074192456,-0.5614569740856821,-0.29125946588712237,-1.353353122540493,0.7557909622497574,-0.4229295209227182,-0.20989087572703335
TCGA-BP-4762,-0.2654226489744918,0.8356445394198211,0.017854462736265946,-0.5685231072297857,1.302427466170482,0.11618657867292106,0.9759411425602772,0.8614739085535458,0.6185125162345172,1.2651555464782767,-0.3037218977188005,-0.4798920189373407
TCGA-B0-5691,-0.2244042278612704,0.7670423998909701,0.28602385585380424,0.006147398697711942,1.5450514023070954,0.03924044026060669,0.5960136923681111,0.9259919572324818,0.6728471522647418,1.4951008232439646,0.2598092485185232,0.19044497974384356
TCGA-A3-3307,0.34921172810894696,0.1043976128593376,-0.24468933132548218,0.16464661129035438,-0.25894350913833897,0.8732627425674645,0.484417392781386,0.17715187456281314,1.0120128369110124,0.15507108438699949,0.14520203309764687,0.7086289339996672
TCGA-CJ-4643,0.046313463239012566,0.252359955355044,0.4472618773016386,0.3541776029639978,0.03345720039020349,0.11658773193709839,0.2461549877305133,0.645633888430271,0.6539414984042545,0.32636773299382044,0.1471044903652491,0.28755876142331416
TCGA-CJ-4905,0.153219240162483,-0.28838894154093214,-0.6933295182977449,0.817739267285372,-0.3342355906682984,-0.3980621567062555,0.16860546813503574,-0.13929159658866752,0.12376841177538443,0.9613633786249282,-0.8010292620846204,-0.5242676241082804
TCGA-CJ-4888,1.336233944716529,1.0356209657543323,1.0954944684525354,0.8954241046945733,0.7308462367860675,0.48713624935489847,0.2588661880858401,-0.21218029726174406,0.31255220923065485,0.13138917363332928,1.5542936979645448,1.10981164035111
TCGA-BP-4989,1.638083375692887,0.6670460392274039,0.4896719931575337,0.5832346829986658,1.400933604326245,-0.17569348151996772,-0.299805319826228,0.17333941465976457,-0.12134652497343301,-0.9624662687750226,1.0669039728739176,0.5351620886808514
TCGA-A3-3376,-0.11674918044387464,0.5655179511190702,-0.16847742802753954,0.4277698166908462,0.28216327474650366,0.061050250006591415,1.2251344295718123,0.622795388072968,1.124912994345638,1.298679824589643,-0.5223773568028831,-0.7775241101471757
TCGA-CZ-5469,-1.0856922609877804,-0.7841739109705486,-0.5965497775994233,-0.9844770154981236,-0.8738215127354068,-1.14645596623571,-0.8280624180849978,-0.6426813557735793,-0.6250191196541912,-1.1887174922398185,-0.8644127711552162,-1.570807755068513
TCGA-A3-A8OV,-0.2682425091773835,-1.5694846215213873,-0.9090083060275274,0.23519067607127703,-0.47051678512683826,-0.31493761828341366,-0.2156671474792836,-0.7965383558377223,0.3016410718487334,-0.6352392767518268,-0.9712960371653413,-0.45491838079269853
TCGA-BP-4991,-0.19962582017417768,0.4813648914317379,0.010730008367513774,0.6578521963274488,-0.10514573573325788,-0.05280413060931217,0.5173322025290312,0.09246265364187399,0.6738481343104108,0.9019453605744984,-0.5420826623507066,-0.2771542335216487
TCGA-BP-4972,-0.16090049685720087,0.2963105695464907,-0.35843592954225834,-0.20155248384805194,-0.2994706932681865,0.8384995899969843,1.3918517485906101,0.24032148234618697,0.9180540376778862,0.40361694706189505,-0.2588427437107091,-0.13263856721018852
TCGA-B0-5109,1.0372908067563142,0.6821360394195084,0.6560287706893978,1.0399888611686732,1.2967189669531687,0.5321425172174031,-0.31049607422798703,-0.1310806126714741,1.3266312699867269,-0.17859832355652125,0.7187595527776294,0.35606401721603337
TCGA-B0-4821,0.2617441508472597,-0.6820928070759337,0.048104558961358145,1.383945224231816,-0.28013808013870445,-0.48685348940644324,-0.6700855418114491,-0.9277670745656894,-0.5687252655548932,-1.1143500995055264,-0.3882326408635769,-0.6455612754484925
TCGA-B2-5633,-0.6284954974940299,-0.6652424855572863,-0.4255114604123053,-0.7176665371659176,-0.37652236627777036,-0.7197428804231932,-0.050053348566961864,-0.3785507529017556,-0.13948632056126578,-0.28538908066140994,-0.7515687586724209,-0.4614846589098071
TCGA-B0-5690,-0.10055354871319921,0.3743163439852177,-0.5736423069624067,0.6045945193646436,1.2935755773278628,0.2509574072281567,-0.12900969269222054,0.12081097371565346,0.3570078901638793,0.9597839792259203,-0.6958132496551207,0.06268716703111765
TCGA-BP-4797,-0.20259478151381433,0.46803172927428316,0.08133494109858835,-0.5423738271671634,-0.4209146655354862,-0.0595087719143136,0.2848943690003912,0.376832668169675,0.5792541686345011,-0.13632616613563722,0.14659362771182163,-0.00515109018111036
